pitcher_id,pitcher_name,pitcher_hand,pitch_group,pitches,mean_velo,mean_pfx_x,mean_pfx_z,mean_arm_angle
434378,"Verlander, Justin",R,CH,160,84.001875,-1.11925,0.8084374999999999,50.582499999999996
434378,"Verlander, Justin",R,CU,346,77.62341040462428,0.6025722543352602,-1.1194508670520231,53.17312138728324
434378,"Verlander, Justin",R,FF,769,93.46371911573473,-0.7190117035110533,1.606788036410923,56.64135240572171
434378,"Verlander, Justin",R,SL,305,86.69901639344262,0.33347540983606555,0.4928524590163934,53.59737704918033
445276,"Jansen, Kenley",R,FC,680,92.23632352941176,0.4931029411764706,1.4578088235294118,61.52044117647059
445276,"Jansen, Kenley",R,SI,59,93.22711864406779,-0.4930508474576271,1.6306779661016948,66.24915254237288
445276,"Jansen, Kenley",R,SL,62,82.15483870967742,0.6943548387096774,-0.22129032258064515,60.770967741935486
445926,"Chavez, Jesse",R,CH,140,85.18571428571428,-1.3356428571428571,0.18421428571428572,23.18
445926,"Chavez, Jesse",R,CU,73,75.65890410958905,1.3146575342465754,-0.691917808219178,28.790410958904108
445926,"Chavez, Jesse",R,FC,532,88.80808270676692,-0.15546992481203006,1.0421804511278197,19.939473684210526
445926,"Chavez, Jesse",R,SI,281,90.74483985765124,-1.327081850533808,0.6340925266903915,21.827402135231317
445926,"Chavez, Jesse",R,SL,17,81.39999999999999,0.39999999999999997,-0.4576470588235294,25.370588235294118
448179,"Hill, Rich",L,FF,12,87.575,0.45083333333333336,1.4033333333333333,42.641666666666666
448179,"Hill, Rich",L,SI,16,85.15625,0.98,0.8406250000000001,6.6375
448179,"Hill, Rich",L,ST,26,70.63461538461539,-1.8615384615384616,0.04576923076923077,3.8499999999999996
450203,"Morton, Charlie",R,CH,307,84.95276872964169,-1.4316938110749184,0.014592833876221498,19.69771986970684
450203,"Morton, Charlie",R,CU,1183,81.51766694843617,1.1375739644970415,-0.7384530853761623,20.92561284868977
450203,"Morton, Charlie",R,FC,219,88.46301369863015,0.0014611872146118726,0.47657534246575345,20.5662100456621
450203,"Morton, Charlie",R,FF,804,94.12636815920399,-1.135223880597015,0.8735323383084578,21.55497512437811
450203,"Morton, Charlie",R,SI,276,93.52717391304348,-1.4335507246376813,0.2875,19.774637681159422
453286,"Scherzer, Max",R,CH,93,82.83010752688172,-1.1395698924731184,0.08311827956989248,26.693548387096776
453286,"Scherzer, Max",R,CU,93,74.7247311827957,1.1470967741935485,-0.7227956989247312,33.818279569892475
453286,"Scherzer, Max",R,FC,41,86.59756097560975,0.32170731707317074,0.5517073170731708,27.5609756097561
453286,"Scherzer, Max",R,FF,293,92.49283276450512,-0.8418088737201366,1.3263481228668943,29.3160409556314
453286,"Scherzer, Max",R,SL,148,84.99864864864864,0.36486486486486486,0.32675675675675675,28.304729729729733
455119,"Martin, Chris",R,CH,86,88.28953488372093,-0.9196511627906977,0.22534883720930232,39.6
455119,"Martin, Chris",R,FC,299,91.9494983277592,0.1551839464882943,0.7832775919732441,40.293979933110364
455119,"Martin, Chris",R,FF,204,94.70245098039216,-0.7691666666666667,1.293627450980392,42.430882352941175
455119,"Martin, Chris",R,SI,62,94.05483870967741,-1.2451612903225806,0.8853225806451613,37.95483870967742
456501,"Cueto, Johnny",R,CH,48,81.24583333333334,-0.9208333333333334,0.335625,32.302083333333336
456501,"Cueto, Johnny",R,FC,10,87.22,-0.42300000000000004,0.991,33.31
456501,"Cueto, Johnny",R,FF,15,91.04666666666667,-0.9293333333333333,1.1813333333333333,33.333333333333336
456501,"Cueto, Johnny",R,SI,60,91.10333333333332,-1.3988333333333332,0.6988333333333333,32.615
456501,"Cueto, Johnny",R,SL,33,85.56363636363636,-0.016363636363636365,0.706060606060606,32.34545454545455
458677,"Wilson, Justin",L,FC,196,92.34030612244898,-0.14668367346938777,1.0419897959183673,48.37040816326531
458677,"Wilson, Justin",L,FF,404,95.48886138613861,0.5500495049504951,1.4682673267326731,49.11287128712871
458677,"Wilson, Justin",L,SL,207,88.39082125603865,-0.24019323671497583,0.1677777777777778,47.399033816425124
458681,"Lynn, Lance",R,CH,128,84.778125,-1.15390625,0.59390625,29.25625
458681,"Lynn, Lance",R,CU,127,80.37795275590551,0.5622047244094489,-0.707007874015748,34.23543307086614
458681,"Lynn, Lance",R,FC,453,88.1300220750552,0.14483443708609273,0.4649006622516556,30.93973509933775
458681,"Lynn, Lance",R,FF,963,92.25981308411215,-0.3383177570093458,1.086926272066459,32.4607476635514
458681,"Lynn, Lance",R,SI,341,91.16715542521995,-1.0793548387096774,0.7013782991202345,32.01671554252199
458681,"Lynn, Lance",R,ST,26,81.95384615384616,1.2173076923076924,-0.02346153846153846,30.196153846153848
471911,"Carrasco, Carlos",R,CH,394,86.76725888324874,-0.582258883248731,0.1968527918781726,34.10736040609137
471911,"Carrasco, Carlos",R,CU,117,80.44786324786324,0.915982905982906,-0.6917948717948718,40.41965811965812
471911,"Carrasco, Carlos",R,FF,435,91.63425287356323,-0.27788505747126435,0.8880229885057471,36.969655172413795
471911,"Carrasco, Carlos",R,SI,279,91.08637992831541,-1.1337275985663082,0.47573476702508954,36.562724014336915
471911,"Carrasco, Carlos",R,SL,408,83.9139705882353,0.35120098039215686,0.001470588235294118,34.55294117647059
471911,"Carrasco, Carlos",R,ST,55,80.16,1.013090909090909,0.2883636363636364,32.95454545454545
472610,"García, Luis",R,CH,167,87.1065868263473,-0.7860479041916169,0.39706586826347307,52.188023952095804
472610,"García, Luis",R,FC,15,88.17333333333333,0.21533333333333332,0.21133333333333332,44.11333333333334
