iter	MultiClass
193	0.1645330024
194	0.1644060924
195	0.1642713279
196	0.1641668158
197	0.1640461013
198	0.1639307173
199	0.1637701249
200	0.1636209549
201	0.1635285257
202	0.163412493
203	0.163287142
204	0.1632063435
205	0.1630678226
206	0.1629498492
207	0.1628052266
208	0.1626470362
209	0.1625657091
210	0.1624526638
211	0.1623197551
212	0.1621140734
213	0.1619843719
214	0.1618474394
215	0.1617590941
216	0.1616143154
217	0.1614562236
218	0.1613549029
219	0.1612094261
220	0.1610998699
221	0.1609705896
222	0.1608376588
223	0.1606299894
224	0.1605235967
225	0.1603956869
226	0.1602828748
227	0.1602047198
228	0.1600866788
229	0.1600045726
230	0.1598884454
231	0.1597626543
232	0.1596401655
233	0.1595499367
234	0.1594165551
235	0.1592822879
236	0.1591196523
237	0.1590658133
238	0.1589153469
239	0.1587901017
240	0.1586681997
241	0.158535038
242	0.1584682554
243	0.1583114203
244	0.1582981386
245	0.1582049972
246	0.1581346732
247	0.1580643207
248	0.1579855469
249	0.1578764765
250	0.1577187766
251	0.1576165386
252	0.1575194629
253	0.157384985
254	0.1573083286
255	0.1571742886
256	0.1570606065
257	0.1569353238
258	0.1569310574
259	0.1568290195
260	0.1567881605
261	0.1566767527
262	0.1565447146
263	0.1564839966
264	0.1564811022
265	0.1564138051
266	0.1563214018
267	0.1562634171
268	0.1561984656
269	0.1560520688
270	0.1559380929
271	0.155864028
272	0.1557327732
273	0.1557276369
274	0.1556369762
275	0.1555348666
276	0.1553946762
277	0.1553253009
278	0.1551916551
279	0.1551148822
280	0.1550066031
281	0.1549410501
282	0.1548344663
283	0.1547626914
284	0.1546947786
285	0.154692567
286	0.154608253
287	0.1546060511
288	0.1545289143
289	0.1543880772
290	0.1542425083
291	0.1541890964
292	0.1541249858
293	0.154056659
294	0.1539949578
295	0.1539020687
296	0.1537853973
297	0.1536579544
298	0.1535705375
299	0.1534381322
300	0.1533439944
301	0.1532957814
302	0.1532255156
303	0.1532222099
304	0.1531568474
305	0.1530338697
306	0.1530313436
307	0.1529507565
308	0.1528941483
309	0.1527973936
310	0.1527282691
311	0.1525603317
312	0.1524392851
313	0.152324341
314	0.1522600083
315	0.1521966187
316	0.1521476402
317	0.1520545261
318	0.1519623519
319	0.1518539262
320	0.1517889174
321	0.1517854612
322	0.1516964359
323	0.151636827
324	0.1516329832
325	0.1516117184
326	0.1515521329
327	0.1514654864
328	0.1514017833
329	0.1513998025
330	0.151393802
331	0.1512459254
332	0.1511742058
333	0.1511722792
334	0.1511249947
335	0.1510072557
336	0.1509080784
337	0.1508240384
338	0.1508221979
339	0.1506700055
340	0.1505778719
341	0.15046294
342	0.1504168758
343	0.1502756126
344	0.1502011686
345	0.1500918501
346	0.1500382597
347	0.1499728816
348	0.1498626321
349	0.1497829195
350	0.149698044
351	0.1496442027
352	0.1495524569
353	0.149446022
354	0.1493812912
355	0.1493764612
356	0.1493385423
357	0.1493326896
358	0.1492644068
359	0.1491802807
360	0.149115674
361	0.1490525646
362	0.1489938476
363	0.1488981727
364	0.1488576585
365	0.1487486572
366	0.1486680771
367	0.1486489016
368	0.1485977097
369	0.148538449
370	0.1484812702
371	0.1483826351
372	0.1483715639
373	0.1482975793
374	0.1481963511
375	0.1481514726
376	0.1480402571
377	0.1479878405
378	0.1479136285
379	0.1478471084
380	0.1478211378
381	0.1477513985
382	0.1477498978
383	0.1477435322
384	0.1476103236
385	0.1474619717
386	0.1474104524
387	0.14725813
388	0.1472222037
389	0.1470559157
390	0.1469904161
391	0.1469231532
392	0.1468604136
393	0.1468582013
394	0.1467836342
395	0.1466979351
396	0.1466295156
397	0.1466280252
398	0.1465488966
399	0.146510015
400	0.1464483523
401	0.1464373716
402	0.146374199
403	0.1463353542
404	0.1462279237
405	0.1461268295
406	0.1460186863
407	0.1458863527
408	0.145885394
409	0.1457964507
410	0.1457203493
411	0.1456515339
412	0.1455802749
413	0.1454982592
414	0.1454422065
415	0.1453886315
416	0.1453403743
417	0.145210974
418	0.1451790852
419	0.1451289518
420	0.1450163682
421	0.1450145446
422	0.1450086202
423	0.1449446829
424	0.1448471223
425	0.1448044646
426	0.144750257
427	0.1447093251
428	0.1446700724
429	0.1446675965
430	0.1445835345
431	0.1445118307
432	0.1444527474
433	0.1444437663
434	0.1443856557
435	0.1443403983
436	0.1443060543
437	0.144240414
438	0.1441994447
439	0.1440634572
440	0.1439838943
441	0.143913637
442	0.1438245241
443	0.1437431141
444	0.1436659481
445	0.1436164101
446	0.1435709093
447	0.1435112185
448	0.1434676505
449	0.1434233063
450	0.1433448091
451	0.1432973652
452	0.1432167266
453	0.1431836697
454	0.1431164983
455	0.1430599634
456	0.1429920334
457	0.1429440649
458	0.1428816136
459	0.1428209623
460	0.1428197177
461	0.1427952316
462	0.1427339895
463	0.1426764804
464	0.1426306721
465	0.1425489004
466	0.1424610884
467	0.1424097246
468	0.1423260776
469	0.1422561697
470	0.1422130098
471	0.1421320186
472	0.1420715432
473	0.1420124209
474	0.1420021838
475	0.1419290204
476	0.1418222576
477	0.14178146
478	0.1417266263
479	0.1416789399
480	0.1416236119
481	0.1415930483
482	0.1415282315
483	0.141442326
484	0.141405805
485	0.1413714625
486	0.141308288
487	0.1412551807
488	0.1412123711
489	0.1411755144
490	0.1410410583
491	0.1410013831
492	0.1409267324
493	0.1408882818
494	0.1408250981
495	0.1407971326
496	0.1407248601
497	0.140640143
498	0.1406027214
499	0.140548769
